validation_event,gradient_weight,outcome_weight,matches,mean_score_points,mean_outcome_points,mean_total_points
2022 World Cup,0.05,0.2,64,5.78125,20.625,26.40625
2022 World Cup,0.05,0.3,64,5.78125,20.625,26.40625
2022 World Cup,0.05,0.4,64,5.78125,20.0,25.78125
2022 World Cup,0.05,0.6,64,5.78125,20.0,25.78125
2022 World Cup,0.1,0.0,64,5.625,19.375,25.0
2022 World Cup,0.1,0.1,64,5.625,20.625,26.25
2022 World Cup,0.1,0.2,64,5.625,20.625,26.25
2022 World Cup,0.1,0.3,64,5.625,20.625,26.25
2022 World Cup,0.1,0.4,64,5.625,20.0,25.625
2022 World Cup,0.1,0.6,64,5.625,20.0,25.625
2022 World Cup,0.15,0.0,64,5.625,19.375,25.0
2022 World Cup,0.15,0.1,64,5.625,20.625,26.25
2022 World Cup,0.15,0.2,64,5.625,21.25,26.875
2022 World Cup,0.15,0.3,64,5.625,20.0,25.625
2022 World Cup,0.15,0.4,64,5.625,20.0,25.625
2022 World Cup,0.15,0.6,64,5.625,20.0,25.625
2022 World Cup,0.3,0.0,64,5.625,20.0,25.625
2022 World Cup,0.3,0.1,64,5.625,20.0,25.625
2022 World Cup,0.3,0.2,64,5.625,21.25,26.875
2022 World Cup,0.3,0.3,64,5.625,20.0,25.625
2022 World Cup,0.3,0.4,64,5.625,20.0,25.625
2022 World Cup,0.3,0.6,64,5.625,20.0,25.625
2022 World Cup,0.45,0.0,64,4.453125,20.0,24.453125
2022 World Cup,0.45,0.1,64,4.453125,20.0,24.453125
2022 World Cup,0.45,0.2,64,4.453125,20.625,25.078125
2022 World Cup,0.45,0.3,64,4.453125,20.0,24.453125
2022 World Cup,0.45,0.4,64,4.453125,20.0,24.453125
2022 World Cup,0.45,0.6,64,4.453125,20.0,24.453125
2022 World Cup,0.6,0.0,64,4.140625,19.375,23.515625
2022 World Cup,0.6,0.1,64,4.140625,20.0,24.140625
2022 World Cup,0.6,0.2,64,4.140625,19.375,23.515625
2022 World Cup,0.6,0.3,64,4.140625,20.0,24.140625
2022 World Cup,0.6,0.4,64,4.140625,20.0,24.140625
2022 World Cup,0.6,0.6,64,4.140625,19.375,23.515625
2024 Euro/Copa,0.0,0.0,83,5.180722891566265,20.72289156626506,25.903614457831324
2024 Euro/Copa,0.0,0.1,83,5.180722891566265,20.72289156626506,25.903614457831324
2024 Euro/Copa,0.0,0.2,83,5.180722891566265,20.72289156626506,25.903614457831324
2024 Euro/Copa,0.0,0.3,83,5.180722891566265,20.72289156626506,25.903614457831324
2024 Euro/Copa,0.0,0.4,83,5.180722891566265,20.72289156626506,25.903614457831324
2024 Euro/Copa,0.0,0.6,83,5.180722891566265,20.72289156626506,25.903614457831324
2024 Euro/Copa,0.05,0.0,83,5.421686746987952,20.72289156626506,26.14457831325301
2024 Euro/Copa,0.05,0.1,83,5.421686746987952,20.72289156626506,26.14457831325301
2024 Euro/Copa,0.05,0.2,83,5.421686746987952,20.72289156626506,26.14457831325301
2024 Euro/Copa,0.05,0.3,83,5.421686746987952,20.72289156626506,26.14457831325301
2024 Euro/Copa,0.05,0.4,83,5.421686746987952,20.72289156626506,26.14457831325301
2024 Euro/Copa,0.05,0.6,83,5.421686746987952,20.72289156626506,26.14457831325301
2024 Euro/Copa,0.1,0.0,83,5.421686746987952,20.72289156626506,26.14457831325301
2024 Euro/Copa,0.1,0.1,83,5.421686746987952,20.72289156626506,26.14457831325301
2024 Euro/Copa,0.1,0.2,83,5.421686746987952,20.72289156626506,26.14457831325301
2024 Euro/Copa,0.1,0.3,83,5.421686746987952,20.72289156626506,26.14457831325301
2024 Euro/Copa,0.1,0.4,83,5.421686746987952,20.72289156626506,26.14457831325301
2024 Euro/Copa,0.1,0.6,83,5.421686746987952,20.72289156626506,26.14457831325301
2024 Euro/Copa,0.15,0.0,83,5.72289156626506,21.204819277108435,26.927710843373493
2024 Euro/Copa,0.15,0.1,83,5.72289156626506,21.204819277108435,26.927710843373493
2024 Euro/Copa,0.15,0.2,83,5.72289156626506,21.204819277108435,26.927710843373493
2024 Euro/Copa,0.15,0.3,83,5.72289156626506,21.204819277108435,26.927710843373493
2024 Euro/Copa,0.15,0.4,83,5.72289156626506,21.204819277108435,26.927710843373493
2024 Euro/Copa,0.15,0.6,83,5.72289156626506,21.204819277108435,26.927710843373493
2024 Euro/Copa,0.3,0.0,83,6.686746987951807,20.72289156626506,27.40963855421687
